epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
94,655.043,0.98685,0.64091,1.2181,0.95862,0.99619,0.995,0.76596,0.75133,0.34522,1.13208,0.0003862,0.0003862,0.0003862
95,661.842,0.99947,0.67444,1.24679,0.97298,0.97602,0.995,0.77666,0.78453,0.40617,1.11662,0.0003796,0.0003796,0.0003796
96,668.813,0.98456,0.67008,1.21462,0.94048,0.96312,0.995,0.79115,0.86015,0.41073,1.22748,0.000373,0.000373,0.000373
97,675.826,0.96133,0.65001,1.21559,0.96201,0.98214,0.995,0.77316,0.77761,0.36719,1.13021,0.0003664,0.0003664,0.0003664
98,682.884,0.96313,0.64079,1.20304,0.96974,0.99576,0.995,0.77561,0.76643,0.37627,1.14624,0.0003598,0.0003598,0.0003598
99,689.895,0.96914,0.62616,1.19567,0.95927,0.9752,0.995,0.78567,0.72031,0.36957,1.14797,0.0003532,0.0003532,0.0003532
100,696.742,0.95943,0.63246,1.20555,0.95354,0.99275,0.995,0.7678,0.71277,0.38236,1.10979,0.0003466,0.0003466,0.0003466
101,703.739,0.94965,0.65346,1.20571,0.97432,0.98266,0.995,0.76964,0.79472,0.36374,1.13388,0.00034,0.00034,0.00034
102,710.611,0.96463,0.65088,1.22203,0.95854,0.99253,0.995,0.80031,0.72406,0.3675,1.09835,0.0003334,0.0003334,0.0003334
103,717.665,0.96085,0.64519,1.20138,0.9255,0.99649,0.98875,0.79733,0.71534,0.34304,1.10736,0.0003268,0.0003268,0.0003268
104,724.531,0.96989,0.61644,1.19662,0.94977,1,0.995,0.78163,0.77581,0.36743,1.12914,0.0003202,0.0003202,0.0003202
105,731.661,0.95165,0.62094,1.18436,0.97689,1,0.995,0.74399,0.88176,0.39982,1.17472,0.0003136,0.0003136,0.0003136
106,738.704,0.98297,0.63121,1.2157,0.9688,0.99935,0.995,0.78952,0.76137,0.36579,1.12464,0.000307,0.000307,0.000307
107,745.662,0.95055,0.64561,1.20475,0.97062,1,0.995,0.77309,0.83855,0.38122,1.1803,0.0003004,0.0003004,0.0003004
108,752.484,0.92301,0.62336,1.20063,0.97671,1,0.995,0.78252,0.82544,0.38791,1.20359,0.0002938,0.0002938,0.0002938
109,759.525,0.95048,0.63022,1.20711,0.98414,1,0.995,0.76269,0.85583,0.37156,1.18454,0.0002872,0.0002872,0.0002872
110,766.527,0.95133,0.6317,1.20264,0.98067,1,0.995,0.76213,0.75741,0.39276,1.1201,0.0002806,0.0002806,0.0002806
111,773.631,0.94021,0.63275,1.18922,0.97598,0.9728,0.995,0.79601,0.68918,0.35828,1.0968,0.000274,0.000274,0.000274
112,780.674,0.96787,0.62234,1.21325,0.97638,1,0.995,0.76944,0.75656,0.32752,1.16559,0.0002674,0.0002674,0.0002674
113,787.621,0.93256,0.59176,1.18996,0.9774,1,0.995,0.80479,0.74458,0.35081,1.13413,0.0002608,0.0002608,0.0002608
114,794.711,0.929,0.61826,1.20431,0.97272,0.98448,0.995,0.8043,0.75719,0.38758,1.1251,0.0002542,0.0002542,0.0002542
115,801.577,0.9141,0.60028,1.1756,0.98059,1,0.995,0.80117,0.76394,0.34629,1.16621,0.0002476,0.0002476,0.0002476
116,808.616,0.93184,0.60433,1.20401,0.98437,0.99984,0.995,0.80025,0.75572,0.35607,1.15948,0.000241,0.000241,0.000241
117,815.63,0.89019,0.58209,1.18112,0.97619,0.99345,0.995,0.76988,0.84732,0.3817,1.16597,0.0002344,0.0002344,0.0002344
118,822.637,0.92185,0.62406,1.20516,0.95989,0.98771,0.995,0.78887,0.74337,0.33856,1.09619,0.0002278,0.0002278,0.0002278
119,829.581,0.9233,0.60106,1.20535,0.97382,1,0.995,0.79538,0.74773,0.35023,1.09829,0.0002212,0.0002212,0.0002212
120,836.54,0.89995,0.57268,1.16999,0.98338,1,0.995,0.80157,0.81544,0.34917,1.18547,0.0002146,0.0002146,0.0002146
121,843.566,0.92276,0.59351,1.18931,0.97243,1,0.995,0.81835,0.72862,0.336,1.10986,0.000208,0.000208,0.000208
122,850.571,0.8998,0.60272,1.16934,0.97409,0.99461,0.995,0.82092,0.67595,0.32154,1.09736,0.0002014,0.0002014,0.0002014
123,857.63,0.91947,0.60509,1.18308,0.97772,0.97473,0.995,0.81156,0.66814,0.32657,1.09135,0.0001948,0.0001948,0.0001948
124,864.495,0.91964,0.59581,1.18493,0.96932,0.98014,0.995,0.80382,0.71151,0.34489,1.11663,0.0001882,0.0001882,0.0001882
125,871.49,0.88487,0.55957,1.1504,0.98042,1,0.995,0.80068,0.77501,0.35966,1.14536,0.0001816,0.0001816,0.0001816
126,878.417,0.90633,0.5836,1.17314,0.98158,1,0.995,0.79479,0.73441,0.36089,1.10078,0.000175,0.000175,0.000175
127,885.421,0.89704,0.57461,1.15456,0.98275,1,0.995,0.80451,0.67797,0.31619,1.10085,0.0001684,0.0001684,0.0001684
128,892.304,0.88006,0.56855,1.16382,0.98036,1,0.995,0.80263,0.69162,0.32646,1.09157,0.0001618,0.0001618,0.0001618
129,899.295,0.90552,0.59044,1.17957,0.97752,0.99771,0.995,0.80175,0.73562,0.3681,1.11768,0.0001552,0.0001552,0.0001552
130,906.067,0.88099,0.58355,1.15012,0.97337,0.98971,0.995,0.79065,0.75196,0.34912,1.12403,0.0001486,0.0001486,0.0001486
131,913.115,0.86485,0.55792,1.13449,0.97351,1,0.995,0.79441,0.73463,0.34166,1.11686,0.000142,0.000142,0.000142
132,920.053,0.88354,0.55305,1.15152,0.97997,1,0.995,0.79938,0.7598,0.32842,1.13941,0.0001354,0.0001354,0.0001354
133,927.041,0.84555,0.53702,1.12822,0.98131,0.9939,0.995,0.7947,0.72689,0.31554,1.11714,0.0001288,0.0001288,0.0001288
134,934.102,0.88627,0.55691,1.14896,0.97881,0.99863,0.995,0.79083,0.77339,0.35061,1.15281,0.0001222,0.0001222,0.0001222
135,940.997,0.86951,0.55882,1.1504,0.97915,0.99829,0.995,0.79091,0.78996,0.35123,1.18929,0.0001156,0.0001156,0.0001156
136,948.15,0.86387,0.56709,1.15726,0.98349,0.99478,0.995,0.80467,0.74727,0.32601,1.17035,0.000109,0.000109,0.000109
137,955.156,0.86322,0.55372,1.14158,0.98282,1,0.995,0.7916,0.74225,0.31723,1.12201,0.0001024,0.0001024,0.0001024
138,962.154,0.86627,0.54326,1.1362,0.98062,0.98838,0.995,0.79371,0.75572,0.34878,1.1393,9.58e-05,9.58e-05,9.58e-05
139,968.953,0.84084,0.53577,1.12801,0.98368,0.99504,0.995,0.79529,0.76179,0.37624,1.14201,8.92e-05,8.92e-05,8.92e-05
140,976.019,0.84544,0.55579,1.14621,0.98171,0.99543,0.995,0.79825,0.69814,0.33302,1.10169,8.26e-05,8.26e-05,8.26e-05
141,984.299,0.68739,0.37712,1.11106,0.97697,0.99277,0.995,0.78308,0.72185,0.32932,1.11215,7.6e-05,7.6e-05,7.6e-05
142,991.124,0.67255,0.34828,1.08216,0.98347,0.99509,0.995,0.78563,0.77297,0.35097,1.15702,6.94e-05,6.94e-05,6.94e-05
143,997.875,0.66782,0.34379,1.09285,0.98335,0.98469,0.995,0.78583,0.74625,0.33443,1.15556,6.28e-05,6.28e-05,6.28e-05
144,1004.49,0.66195,0.33803,1.08225,0.98513,0.99766,0.995,0.79221,0.79152,0.35024,1.192,5.62e-05,5.62e-05,5.62e-05
145,1011.49,0.63101,0.3323,1.05147,0.98223,0.99691,0.995,0.78781,0.75211,0.32854,1.15963,4.96e-05,4.96e-05,4.96e-05
146,1018.17,0.62884,0.32622,1.04821,0.98098,0.98555,0.995,0.78332,0.7451,0.33212,1.16414,4.3e-05,4.3e-05,4.3e-05
147,1024.99,0.6388,0.33642,1.06733,0.98009,0.9873,0.995,0.79349,0.73967,0.33135,1.16163,3.64e-05,3.64e-05,3.64e-05
148,1031.7,0.64513,0.33343,1.06195,0.97906,0.99013,0.995,0.78525,0.76312,0.33914,1.16881,2.98e-05,2.98e-05,2.98e-05
149,1038.45,0.61602,0.32636,1.05164,0.98063,0.98893,0.995,0.78443,0.72516,0.31396,1.14777,2.32e-05,2.32e-05,2.32e-05
150,1045.24,0.61687,0.32475,1.0494,0.98305,0.98753,0.995,0.79001,0.75188,0.32768,1.17198,1.66e-05,1.66e-05,1.66e-05
