epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,1593.81,1.10079,0.80409,1.29068,0.93188,0.97549,0.99167,0.77484,0.82998,0.51472,1.27988,0.000637,0.000637,0.000637
57,1622.28,1.06845,0.78623,1.291,0.94509,0.95683,0.98452,0.74419,0.95729,0.54677,1.32098,0.0006304,0.0006304,0.0006304
58,1650.76,1.08077,0.8134,1.28603,0.9393,0.98348,0.995,0.76458,0.82521,0.48272,1.25671,0.0006238,0.0006238,0.0006238
59,1679.25,1.05008,0.77906,1.27587,0.9744,0.98952,0.995,0.77858,0.83101,0.47134,1.22596,0.0006172,0.0006172,0.0006172
60,1707.83,1.07212,0.8159,1.29658,0.91759,0.95762,0.99167,0.77912,0.77271,0.48531,1.2394,0.0006106,0.0006106,0.0006106
61,1737.55,1.07421,0.77022,1.28671,0.94487,0.98663,0.99167,0.7824,0.88793,0.46167,1.30515,0.000604,0.000604,0.000604
62,1766.09,1.06397,0.7823,1.27425,0.91447,0.93677,0.97833,0.77055,0.86409,0.53236,1.25338,0.0005974,0.0005974,0.0005974
63,1794.54,1.05955,0.78955,1.2691,0.93825,0.93943,0.985,0.77706,0.84946,0.49286,1.2406,0.0005908,0.0005908,0.0005908
64,1823.03,1.05113,0.77829,1.25972,0.93322,0.94825,0.97786,0.7527,0.96432,0.54199,1.31554,0.0005842,0.0005842,0.0005842
65,1851.56,1.06121,0.77254,1.26759,0.95306,0.9753,0.995,0.76839,0.92675,0.46721,1.27126,0.0005776,0.0005776,0.0005776
66,1880.08,1.05739,0.74835,1.26157,0.93464,0.90202,0.98833,0.77016,0.83993,0.51705,1.25771,0.000571,0.000571,0.000571
67,1908.59,1.05131,0.7565,1.26014,0.91439,0.94491,0.98833,0.75123,0.99587,0.58406,1.32644,0.0005644,0.0005644,0.0005644
68,1937.09,1.04107,0.77026,1.26361,0.95552,0.9665,0.98452,0.75969,1.03658,0.49789,1.30248,0.0005578,0.0005578,0.0005578
69,1965.57,1.03057,0.73739,1.25203,0.94485,0.97465,0.995,0.79731,0.87982,0.49689,1.25477,0.0005512,0.0005512,0.0005512
70,1994.16,1.02289,0.72858,1.24616,0.93879,0.99519,0.98833,0.76858,0.75544,0.53143,1.23046,0.0005446,0.0005446,0.0005446
71,2022.66,1.03194,0.75211,1.25547,0.95623,0.98896,0.98833,0.75391,0.78252,0.45969,1.21971,0.000538,0.000538,0.000538
72,2051.19,1.04066,0.74541,1.26179,0.92825,0.96452,0.98833,0.75018,0.99349,0.55188,1.29607,0.0005314,0.0005314,0.0005314
73,2079.77,1.02195,0.72503,1.24923,0.96685,0.96052,0.99167,0.78132,0.95867,0.44486,1.24913,0.0005248,0.0005248,0.0005248
74,2108.25,1.02306,0.72701,1.25456,0.9511,0.94861,0.97526,0.76231,0.86938,0.4972,1.23418,0.0005182,0.0005182,0.0005182
75,2136.83,1.01915,0.73295,1.24587,0.93088,0.98639,0.995,0.79071,0.85518,0.47199,1.2144,0.0005116,0.0005116,0.0005116
76,2165.36,1.01123,0.71589,1.23846,0.92423,0.98987,0.985,0.78304,0.77355,0.46296,1.21712,0.000505,0.000505,0.000505
77,2193.86,1.00226,0.70794,1.23012,0.96413,0.97783,0.995,0.77719,0.89697,0.50381,1.2693,0.0004984,0.0004984,0.0004984
78,2222.34,0.99981,0.70377,1.24025,0.96193,0.97927,0.99167,0.77305,0.96854,0.50763,1.25668,0.0004918,0.0004918,0.0004918
79,2250.86,1.00813,0.70943,1.23317,0.97635,0.96134,0.99167,0.79643,0.79406,0.47973,1.1851,0.0004852,0.0004852,0.0004852
80,2279.38,0.99521,0.72238,1.24366,0.96435,0.98607,0.995,0.78855,0.84483,0.4714,1.25934,0.0004786,0.0004786,0.0004786
81,2307.88,0.9787,0.70107,1.22746,0.92892,0.97,0.98833,0.79732,0.86284,0.46328,1.20343,0.000472,0.000472,0.000472
82,2336.44,1.02352,0.71604,1.24778,0.94353,0.97975,0.995,0.81724,0.80517,0.45641,1.2129,0.0004654,0.0004654,0.0004654
83,2364.97,0.98938,0.6959,1.23153,0.94544,0.9777,0.995,0.79185,0.82221,0.43353,1.2079,0.0004588,0.0004588,0.0004588
84,2393.48,0.9801,0.66898,1.21862,0.95897,0.98314,0.995,0.80934,0.79561,0.4416,1.19165,0.0004522,0.0004522,0.0004522
85,2421.98,0.9748,0.69369,1.2144,0.96775,0.95279,0.99167,0.81257,0.73447,0.4745,1.21235,0.0004456,0.0004456,0.0004456
86,2450.54,0.99155,0.69511,1.23253,0.95834,0.96054,0.98944,0.80881,0.64861,0.44122,1.14202,0.000439,0.000439,0.000439
87,2479.1,0.98037,0.69349,1.22896,0.96608,0.96011,0.99167,0.79526,0.72841,0.43936,1.18807,0.0004324,0.0004324,0.0004324
88,2507.63,0.96081,0.65812,1.20402,0.93789,0.93678,0.98119,0.77376,0.75811,0.44885,1.17614,0.0004258,0.0004258,0.0004258
89,2536.17,0.97627,0.66677,1.21777,0.96422,0.99338,0.995,0.80541,0.71805,0.40392,1.16619,0.0004192,0.0004192,0.0004192
90,2564.66,0.96522,0.67149,1.2098,0.97505,0.99669,0.995,0.80198,0.65631,0.38446,1.1642,0.0004126,0.0004126,0.0004126
91,2593.15,0.95433,0.65868,1.20649,0.95767,0.9082,0.96566,0.77576,0.68318,0.47627,1.19745,0.000406,0.000406,0.000406
92,2621.69,0.95804,0.65836,1.20153,0.95121,0.95003,0.98369,0.78226,0.692,0.43626,1.17032,0.0003994,0.0003994,0.0003994
93,2650.23,0.9605,0.67917,1.20604,0.96489,0.98516,0.995,0.80655,0.74206,0.42679,1.17937,0.0003928,0.0003928,0.0003928
94,2678.73,0.93804,0.66268,1.19469,0.97364,0.99379,0.995,0.80599,0.65975,0.39132,1.17345,0.0003862,0.0003862,0.0003862
95,2707.27,0.94373,0.6616,1.20278,0.97059,0.98832,0.995,0.8119,0.731,0.39769,1.20733,0.0003796,0.0003796,0.0003796
96,2735.79,0.95614,0.66022,1.2104,0.94726,0.98303,0.995,0.81777,0.71951,0.44019,1.17727,0.000373,0.000373,0.000373
97,2764.42,0.94805,0.65827,1.19895,0.95254,0.96998,0.995,0.82096,0.65231,0.36395,1.13449,0.0003664,0.0003664,0.0003664
98,2793.04,0.95991,0.6548,1.20725,0.96918,0.96858,0.995,0.81668,0.66923,0.40414,1.14836,0.0003598,0.0003598,0.0003598
99,2821.57,0.94463,0.6557,1.19509,0.95332,0.99046,0.995,0.82405,0.70345,0.40648,1.15409,0.0003532,0.0003532,0.0003532
100,2850.18,0.94638,0.64425,1.19172,0.963,0.96661,0.99167,0.81219,0.66913,0.39591,1.15281,0.0003466,0.0003466,0.0003466
101,2878.7,0.94308,0.66716,1.19328,0.96968,0.96233,0.98944,0.82896,0.64731,0.40928,1.11401,0.00034,0.00034,0.00034
102,2907.34,0.92518,0.64106,1.18602,0.95824,0.98796,0.995,0.84311,0.71177,0.38718,1.18796,0.0003334,0.0003334,0.0003334
103,2935.9,0.92147,0.64466,1.18655,0.97027,0.97907,0.995,0.80952,0.70114,0.40293,1.20001,0.0003268,0.0003268,0.0003268
